ticker,name,sector,industry,cik,index_member,sic_code,sic_desc
LCII,LCI Industries,Consumer Discretionary,Automotive Parts & Equipment,763744,SP600,3714,Motor Vehicle Parts & Accessories
LEG,Leggett & Platt,Consumer Discretionary,Home Furnishings,58492,SP600,2510,Household Furniture
LGIH,LGI Homes,Consumer Discretionary,Homebuilding,1580670,SP600,1531,Operative Builders
LIF,Life360,Information Technology,Application Software,1581760,SP600,7374,Services-Computer Processing & Data Preparation
LGND,"Ligand Pharmaceuticals, Inc.",Health Care,Biotechnology,886163,SP600,2834,Pharmaceutical Preparations
LKFN,Lakeland Financial,Financials,Regional Banks,721994,SP600,6022,State Commercial Banks
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,1065696,SP600,5010,Wholesale-Motor Vehicles & Motor Vehicle Parts & Supplies
LMAT,LeMaitre Vascular,Health Care,Health Care Equipment,1158895,SP600,3841,Surgical & Medical Instruments & Apparatus
LNC,Lincoln Financial,Financials,Multi-line Insurance,59558,SP600,6311,Life Insurance
LNN,Lindsay Corporation,Materials,Agricultural & Farm Machinery,836157,SP600,3523,Farm Machinery & Equipment
LPG,Dorian LPG Ltd.,Energy,Oil & Gas Storage & Transportation,1596993,SP600,4412,Deep Sea Foreign Transportation of  Freight
LQDT,"Liquidity Services, Inc.",Industrials,Diversified Support Services,1235468,SP600,7389,"Services-Business Services, NEC"
LRN,"Stride, Inc.",Consumer Discretionary,Education Services,1157408,SP600,8200,Services-Educational Services
LTC,"LTC Properties, Inc.",Real Estate,Health Care REITs,887905,SP600,6798,Real Estate Investment Trusts
LTH,"Life Time Group Holdings, Inc.",Consumer Discretionary,Leisure Facilities,1869198,SP600,7997,Services-Membership Sports & Recreation Clubs
LUMN,Lumen Technologies,Communication Services,Alternative Carriers,18926,SP600,4813,Telephone Communications (No Radiotelephone)
LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,1679273,SP600,2030,"Canned, Frozen & Preservd Fruit, Veg & Food Specialties"
LXP,Lexington Realty Trust,Real Estate,Diversified REITs,910108,SP600,6798,Real Estate Investment Trusts
LYFT,"Lyft, Inc.",Industrials,Passenger Ground Transportation,1759509,SP600,7389,"Services-Business Services, NEC"
LZ,"LegalZoom.com, Inc.",Industrials,Research & Consulting Services,1286139,SP600,7374,Services-Computer Processing & Data Preparation
LZB,"La-Z-Boy, Inc.",Consumer Discretionary,Home Furnishings,57131,SP600,2510,Household Furniture
MAC,Macerich,Real Estate,Retail REITs,912242,SP600,6798,Real Estate Investment Trusts
MAN,ManpowerGroup,Industrials,Human Resource & Employment Services,871763,SP600,7363,Services-Help Supply Services
MARA,"MARA Holdings, Inc.",Information Technology,Internet Services & Infrastructure,1507605,SP600,6199,Finance Services
MATW,Matthews International Corporation,Consumer Discretionary,Specialized Consumer Services,63296,SP600,3360,Nonferrous Foundries (Castings)
MATX,"Matson, Inc.",Industrials,Marine Transportation,3453,SP600,4400,Water Transportation
MBC,"MasterBrand, Inc.",Industrials,Building Products,1941365,SP600,2511,"Wood Household Furniture, (No Upholstered)"
MBIN,Merchants Bancorp,Financials,Regional Banks,1629019,SP600,6022,State Commercial Banks
MC,Moelis & Company,Financials,Investment Banking & Brokerage,1596967,SP600,6282,Investment Advice
MCRI,"Monarch Casino & Resort, Inc.",Consumer Discretionary,Casinos & Gaming,907242,SP600,7011,Hotels & Motels
MCW,"Mister Car Wash, Inc.",Consumer Discretionary,Specialized Consumer Services,1853513,SP600,7500,"Services-Automotive Repair, Services & Parking"
MCY,Mercury General,Financials,Property & Casualty Insurance,64996,SP600,6331,"Fire, Marine & Casualty Insurance"
MD,Pediatrix Medical Group,Health Care,Health Care Services,893949,SP600,8060,Services-Hospitals
MDU,"MDU Resources Group, Inc.",Utilities,Multi-Utilities,67716,SP600,1400,Mining & Quarrying of  Nonmetallic Minerals (No Fuels)
MGEE,"MGE Energy, Inc.",Utilities,Electric Utilities,1161728,SP600,4900,"Electric, Gas & Sanitary Services"
MGY,"Magnolia Oil & Gas, Corp.",Energy,Oil & Gas Exploration & Production,1698990,SP600,1311,Crude Petroleum & Natural Gas
